2025-11-30 13:54:48.265; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:49.268; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.497; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:50.271; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:51.273; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:52.277; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:53.280; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:54.282; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:55.286; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:56.288; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:57.291; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:58.294; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:59.297; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:00.300; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:01.302; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:02.306; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:03.308; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:04.311; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:05.314; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:06.318; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:07.321; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:08.324; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:09.327; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:10.330; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:11.332; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:12.336; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:13.340; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:14.342; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:15.345; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:16.348; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=-2.000; TARGET_Y=2.000; TARGET_Z=1.500
2025-11-30 13:55:17.352; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:18.355; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:19.357; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:20.360; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:21.363; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:22.366; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:23.369; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:24.372; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:25.375; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:26.378; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:27.381; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:28.385; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:29.389; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:30.391; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:31.394; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:32.397; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:33.400; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:34.402; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:35.405; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:36.408; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:37.411; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:38.413; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:55:39.416; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
